surface,wd_id,par_id
Madrid,Q2807,p2401_2
Recanati,Q83362,p4259_5
Milano,Q490,p294_1
grecia,Q11772,p740_1
Ispagna,Q29,p2882_1
Pisa,Q13375,p4307_2
Italia,Q38,p4329_1
Firenze,Q2044,p4329_1
italia,Q38,p998_1
impero greco,Q2497438,p998_1
italia,Q38,p998_1
italia,Q38,p998_1
Romae,Q220,p4364_2
empire romain,Q2277,p4364_2
Milan,Q490,p4112_4
Milano,Q490,p4231_2
Recanati,Q83362,p4231_2
Itone,Q3155980,p4154_1
Venezia,Q641,p2638_1
Venez.,Q641,p2638_1
Venezia,Q641,p1028_2
italia,Q38,p2372_2
Rom.,Q220,p2876_2
Ven.,Q641,p4122_1
india,Q668,p4199_1
Bologna,Q1891,p4199_1
Venez.,Q641,p2386_2
italia,Q38,p3742_3
Paris,Q90,p2685_3
Roma,Q220,p2685_3
Spagna,Q29,p420_2
Bologna,Q1891,p4188_10
Persia,Q83311,p953_1
Oriente,Q205653,p953_1
Prussia,Q38872,p3633_1
Amberes,Q12892,p3980_1
Vindobon.,Q1741,p4154_9
Lazio,Q1048669,p62_1
Patav.,Q617,p2825_1
Venetia,Q641,p3885_2
grecia,Q11772,p3044_1
grecia,Q11772,p3044_1
grecia,Q11772,p3044_1
grecia,Q11772,p3044_1
italia,Q38,p3044_1
grecia,Q11772,p3044_1
Torino,Q495,p4237_2
Torino,Q495,p4237_2
Europe,Q46,p3989_1
Friburgo,Q2833,p4017_4
Parigi,Q90,p4399_3
Roma,Q1747689,p4399_3
Recanati,Q83362,p4240_1
Francia,Q142,p1890_1
Venez.,Q641,p3568_1
Venez.,Q641,p4231_3
Venez.,Q641,p4231_3
Londra,Q84,p4125_1
Venezia,Q641,p4125_1
Ven.,Q641,p4125_1
europa,Q46,p4125_1
Amsterdam,Q727,p4125_1
Amsterdam,Q727,p113_1
italia,Q38,p739_1
grecia,Q11772,p739_1
l'occidente,Q160381,p739_1
oriente,Q205653,p739_1
Ven.,Q641,p3560_1
Eliso,Q157128,p4208_1
Roma,Q220,p2653_2
Barga,Q216479,p4236_1
Toscana,Q1273,p4236_1
Lucca,Q13373,p4236_1
Levante,Q81483,p4236_1
Grecia,Q11772,p4236_1
Asia,Q48,p4236_1
Costantinopoli,Q16869,p4236_1
Torino,Q495,p4236_1
Venez.,Q641,p4236_1
Milano,Q490,p1103_1
china,Q29520,p1179_1
China,Q29520,p1179_1
europa,Q46,p2686_3
Europa latina,Q1064023,p2686_3
Madrid,Q2807,p3642_1
Cordova,Q5818,p3372_2
Spagna,Q29,p3372_2
Cordova,Q5818,p3372_2
Spagna,Q29,p3372_2
Cordova,Q5818,p3372_2
Patav.,Q617,p4519_3
grecia,Q11772,p2166_1
italia,Q38,p2166_1
Basil.,Q78,p4164_7
Troia,Q22647,p4282_9
Roma,Q1747689,p42_1
Cremona,Q6231,p2977_1
Paris,Q90,p2977_1
Scizia,Q845909,p3509_1
Bassano,Q47094,p3509_1
America meridionale,Q18,p3509_1
italia,Q38,p812_1
italia,Q38,p812_1
Milano,Q490,p4188_13
Affrica,Q15,p4188_13
Bologna,Q1891,p4188_13
Amsterdam,Q727,p3978_2
Paris,Q90,p4394_1
Napoli,Q2634,p4394_1
Grecia,Q11772,p4394_1
Grecia,Q11772,p4394_1
Grecia,Q11772,p4394_1
Grecia,Q11772,p4394_1
Grecia,Q11772,p4394_1
Grecia,Q11772,p4394_1
Atene,Q844930,p4394_1
Friburgo,Q2833,p4058_1
Roma,Q1747689,p992_1
italia,Q38,p992_1
italia,Q38,p992_1
Roma,Q1747689,p992_1
roma,Q1747689,p992_1
Roma,Q1747689,p992_1
Cappadocia,Q33490,p992_1
Roma,Q1747689,p992_1
Tigur.,Q72,p4438_1
italia,Q38,p2504_1
Paris,Q90,p1124_2
Patav.,Q617,p1124_2
Bologna,Q1891,p4209_1
Chios,Q160483,p4445_1
Chios,Q160483,p4445_1
Atene,Q844930,p4054_5
Lazio,Q1048669,p232_1
inghilterra,Q21,p1011_2
Milano,Q490,p1011_2
europa,Q46,p1011_2
Lucca,Q13373,p684_1
Spagna,Q29,p1798_1
Milano,Q490,p1798_1
Scozia,Q22,p1014_2
Galles,Q25,p1014_2
Madrid,Q2807,p4061_3
Fir.,Q2044,p4126_7
Lausanne,Q807,p1431_1
Bologna,Q1891,p4165_3
Italia,Q38,p4385_1
Verona,Q2028,p4385_1
Bologna,Q1891,p4183_2
Bologna,Q1891,p4183_2
italia,Q38,p2283_1
Grecia,Q11772,p4238_3
Atene,Q844930,p4238_3
Grecia,Q11772,p4238_3
Recanati,Q83362,p4238_3
Preneste,Q2107419,p989_1
Italia,Q38,p989_1
Roma,Q1747689,p989_1
Venez.,Q641,p4402_1
Mil.,Q490,p4121_1
impero greco,Q2497438,p1023_2
italia,Q38,p1023_2
Firenze,Q2044,p4190_2
Bologna,Q1891,p4190_2
Germania,Q183,p3347_1
europa,Q46,p3347_1
Germania,Q183,p3347_1
mezzogiorno d'Europa,Q27449,p3347_1
San-Marino,Q238,p3347_1
Germania,Q183,p3347_1
Roma,Q1747689,p2650_1
Verona,Q2028,p2650_1
Italia,Q38,p2650_1
Toscana,Q1273,p2650_1
Maleventum,Q105706880,p4433_2
Samnium,Q105706880,p4433_2
Maleventum,Q105706880,p4433_2
Beneventum,Q105706880,p4433_2
Maleventũ,Q105706880,p4433_2
Napoli,Q2634,p4289_2
italia,Q38,p4289_2
europa,Q46,p4289_2
Firenze,Q2044,p4289_2
Atene,Q844930,p4309_2
Firenze,Q2044,p4309_2
Europa latina,Q1064023,p2691_1
Basileę,Q78,p1281_3
Châtillon-sur-Seine,Q244707,p4412_2
Ven.,Q641,p4135_3
Patav.,Q617,p1276_1
Milano,Q490,p4229_1
Recanati,Q83362,p4229_1
Parma,Q2683,p4229_1
Moravia,Q193152,p4378_2
Pannonia,Q170062,p4378_2
italia,Q38,p3332_1
italia,Q38,p3332_1
italia,Q38,p3332_1
italia,Q38,p3332_1
italia,Q38,p3332_1
italia,Q38,p3332_1
inghilterra,Q21,p1409_1
Oxon.,Q34217,p4160_7
Bologna,Q1891,p4160_7
Troia,Q22647,p2243_2
Lips.,Q2079,p4482_2
Semifonte,Q3955018,p1230_1
Firenze,Q2044,p1230_1
Milano,Q490,p1230_1
Milano,Q490,p2127_1
grecia,Q11772,p2252_1
Messico,Q96,p2252_1
Colonia,Q365,p4137_2
italia,Q38,p3949_2
Asia,Q48,p1000_1
Roma,Q1747689,p1000_1
Amstelodami,Q727,p4020_4
Bologna,Q1891,p4167_9
Egitto,Q11768,p4133_1
Egitto,Q11768,p4133_1
Florent.,Q2044,p3881_1
Lazio,Q1048669,p54_1
Roma,Q1747689,p54_1
Roma,Q1747689,p54_1
Roma,Q1747689,p54_1
Roma,Q1747689,p54_1
Roma,Q220,p2683_2
Amstelodami,Q727,p4116_5
Grecia,Q11772,p2180_2
Atene,Q844930,p2180_2
Atene,Q844930,p2180_2
grecia,Q11772,p2180_2
Firenze,Q2044,p2180_2
Venez.,Q641,p4227_4
Inghilterra,Q21,p2062_1
inghilterra,Q21,p986_2
inghilterra,Q21,p986_2
oriente,Q205653,p986_2
Londra,Q84,p986_2
Milano,Q490,p986_2
italia,Q38,p1057_1
italia,Q38,p1057_1
europa,Q46,p1057_1
Italiam,Q38,p465_1
Carlsruhe,Q1040,p4373_1
Mars,Q1116491,p4373_1
Venez.,Q641,p4237_1
Canaan,Q163329,p881_1
Groenlandia,Q223,p4024_2
Londra,Q84,p4024_2
Firenze,Q2044,p4024_2
Rome,Q220,p3466_1
Paris,Q90,p302_3
Cambridge,Q350,p883_1
Inghilterra,Q21,p4487_2
Francia,Q142,p4487_2
Italia,Q38,p4487_2
Spagna,Q29,p4487_2
Ven.,Q641,p4139_5
Lips.,Q2079,p3169_1
italia,Q38,p3010_1
Grecia,Q11772,p3010_1
italia,Q38,p3010_1
grecia,Q11772,p3010_1
Copenhague,Q1748,p4312_2
Asiae,Q48,p472_1
Macedoniae,Q83958,p472_1
Macedonia,Q83958,p472_1
indie,Q668,p3622_2
Modena,Q279,p4264_1
Ven.,Q641,p4264_1
Camerina,Q854843,p2355_1
Geloi,Q39971,p2355_1
Gela,Q39971,p2355_1
Roma,Q1747689,p455_2
Frigia,Q32579,p1078_1
Parma,Q2683,p2884_1
Venez.,Q641,p2884_1
Firenze,Q2044,p2525_1
Firenze,Q2044,p2525_1
Pisa,Q13375,p4302_6
Recanati,Q83362,p4226_4
Basileae,Q78,p4163_8
Bologna,Q1891,p4163_8
italia,Q38,p3749_2
italia,Q38,p3749_2
italia,Q38,p3749_2
Roma,Q1747689,p2609_1
italia,Q38,p2609_1
grecia,Q11772,p2609_1
Roma,Q1747689,p2609_1
italia,Q38,p2609_1
italia,Q38,p2609_1
Florent.,Q2044,p3890_1
Rom.,Q220,p2658_2
Atene,Q844930,p1444_1
Recanati,Q83362,p4255_6
italia,Q38,p217_1
europa,Q46,p217_1
francia,Q142,p217_1
francia,Q142,p217_1
europa,Q46,p217_1
europa,Q46,p4172_13
Asia,Q48,p4172_13
Firenze,Q2044,p4172_13
Bologna,Q1891,p4172_13
Milan,Q490,p4088_1
Bologna,Q1891,p4151_11
Fir.,Q2044,p2674_2
Bologna,Q1891,p4170_12
Pisa,Q13375,p4302_1
Pisa,Q13375,p4302_1
grecia,Q11772,p935_1
Latium,Q1048669,p4446_1
Greece,Q11772,p4446_1
Spagna,Q29,p1035_1
Francia,Q142,p1035_1
Spagna,Q29,p1035_1
Ispagna,Q29,p1035_1
Francia,Q142,p1035_1
Valacchia,Q171393,p1035_1
Paris,Q90,p160_2
Milano,Q490,p956_1
Clusio,Q843729,p501_2
Romamque,Q220,p501_2
Asia,Q48,p501_2
Amst.,Q727,p4016_3
Breslau,Q1799,p4312_3
Troie,Q22647,p4312_3
Troie,Q22647,p4312_3
Troie,Q22647,p4312_3
grecia,Q11772,p2140_1
italia,Q38,p2140_1
Recanati,Q83362,p4260_1
India,Q668,p975_1
Napoletano,Q15123,p3130_1
europa,Q46,p3130_1
impero turco,Q12560,p3130_1
Ven.,Q641,p3130_1
Ven.,Q641,p3130_1
Ven.,Q641,p3130_1
Roma,Q1747689,p1067_3
Roma,Q1747689,p148_1
Viterbo,Q13395,p4473_5
Firenze,Q2044,p4473_5
Friburgo,Q2833,p4037_2
Bologna,Q1891,p4166_5
italia,Q38,p3208_1
Francia,Q142,p3208_1
Germania,Q183,p3208_1
Louisiane,Q658054,p3365_1
France,Q142,p3365_1
Cirey,Q817024,p3365_1
italia,Q38,p144_1
inghilterra,Q21,p974_1
Francia,Q142,p974_1
europa,Q46,p3366_1
Spagna,Q29,p3366_1
Gallie,Q38060,p3366_1
Roma,Q1747689,p3366_1
Le Gallie,Q38060,p3366_1
Germania,Q183,p3366_1
impero latino,Q2277,p3366_1
Germania,Q183,p3366_1
impero romano,Q2277,p3366_1
Germania,Q183,p3366_1
italia,Q38,p3366_1
Francia,Q142,p3366_1
Spagna,Q29,p3366_1
Germania,Q183,p3366_1
Spagna,Q29,p3366_1
le Gallie,Q38060,p3366_1
europa,Q46,p3366_1
Ispagna,Q29,p3366_1
Francia,Q142,p3366_1
inghilterra,Q21,p3366_1
Inghilterra,Q21,p3366_1
Asia,Q48,p3366_1
grecia,Q41,p3366_1
italia,Q38,p3366_1
impero latino,Q2277,p3366_1
inghilterra,Q21,p3366_1
Gallie,Q38060,p3366_1
Gallie,Q38060,p3366_1
italia,Q38,p3366_1
Ispagna,Q29,p3366_1
italia,Q38,p3366_1
Francia,Q142,p3366_1
ispagna,Q29,p3366_1
Germania,Q183,p3366_1
Italia,Q38,p3366_1
Francia,Q142,p3366_1
Spagna,Q29,p3366_1
inghilterra,Q21,p3366_1
inghilterra,Q21,p3366_1
Germania,Q183,p3366_1
Inghilterra,Q21,p3366_1
europa,Q46,p3366_1
impero romano,Q2277,p3366_1
Roma,Q1747689,p3366_1
Lazio,Q1048669,p3366_1
Grecia,Q11772,p3366_1
europa,Q46,p3366_1
Roma,Q1747689,p3366_1
Germania,Q183,p3366_1
Recanati,Q83362,p2645_1
Roma,Q220,p2645_1
Colonia,Q365,p1151_1
Grecia,Q11772,p1151_1
Lazio,Q1048669,p1151_1
la repubblica di Venezia,Q4948,p161_1
Napoli,Q2634,p4388_4
Napoli,Q2634,p4388_4
italia,Q38,p3192_1
europa,Q46,p3192_1
europa,Q46,p3192_1
Lazio,Q1048669,p3192_1
italia,Q38,p3192_1
italia,Q38,p3192_1
Francia,Q142,p3192_1
europa,Q46,p3192_1
Francia,Q142,p3192_1
Lazio,Q1048669,p3192_1
Sicilia,Q1460,p4433_1
Italia,Q38,p4433_1
Italia,Q38,p4433_1
Italia,Q38,p4433_1
Sicilia,Q1460,p4433_1
Milan,Q490,p4101_10
Roma,Q220,p456_1
Campidoglio,Q34925,p456_1
imperio Romano,Q2277,p456_1
impero greco,Q2497438,p1025_1
Firenze,Q2044,p1025_1
Roma,Q220,p3254_1
Venez.,Q641,p2676_2
Roma,Q220,p2676_2
Bologna,Q1891,p4162_7
Pisa,Q13375,p4422_3
Recanati,Q83362,p4422_3
Amst.,Q727,p4082_3
Recanati,Q83362,p2686_2
Amsterdam,Q727,p188_4
europa,Q46,p3173_1
Asia,Q48,p3173_1
Costantinopoli,Q16869,p3173_1
greco impero,Q2497438,p3173_1
europa,Q46,p3173_1
europa,Q46,p3173_1
Spagna,Q29,p3173_1
europa,Q46,p3173_1
italia,Q38,p3173_1
Francia,Q142,p3173_1
Germania,Q183,p3173_1
europa,Q46,p3173_1
europa,Q46,p3173_1
europa,Q46,p3173_1
Asia,Q48,p3173_1
grecia,Q11772,p3173_1
europa,Q46,p3173_1
europa,Q46,p3173_1
Rodi,Q188731,p3173_1
Viterbo,Q13395,p3173_1
Malta,Q193896,p3173_1
Europa,Q46,p3173_1
Affrica,Q15,p3173_1
Lepanto,Q165425,p3173_1
Milan,Q490,p4101_4
Bologna,Q1891,p4219_1
Mil.,Q490,p4386_1
Italia,Q38,p4386_1
Firenze,Q2044,p4386_1
Roma,Q220,p4525_1
Spagna,Q29,p3578_1
europa,Q46,p3578_1
spagna,Q29,p3578_1
europa,Q46,p3778_1
Florent.,Q2044,p3893_2
Egitto,Q11768,p4435_3
Recanati,Q83362,p4435_3
Lisbonne,Q597,p4175_2
Aureliae Allobrogum,Q71,p4182_9
Bologna,Q1891,p4182_9
Italia,Q38,p979_1
Oriente,Q205653,p979_1
Grecia,Q11772,p979_1
Italia,Q38,p979_1
Italia,Q38,p979_1
Pisis,Q13375,p979_1
Modena,Q279,p2661_2
Romae,Q220,p4193_2
Danimarca,Q35,p4193_2
Danimarca,Q35,p4193_2
Parigi,Q90,p4193_2
Bologna,Q1891,p4193_2
Francia,Q142,p3416_1
italia,Q38,p3416_1
grecia,Q11772,p3416_1
Florent.,Q2044,p3469_1
politica d'Aristot.,Q69539,p3469_1
Rome,Q1747689,p4331_2
Rome,Q1747689,p4331_2
europa,Q46,p1100_2
Roma,Q1747689,p1100_2
Firenze,Q2044,p2673_2
Florent.,Q2044,p3901_4
Paris,Q90,p4369_2
Londra,Q84,p4369_2
Bologna,Q1891,p4196_3
Affrica,Q15,p3893_3
Tiguri,Q72,p4140_9
italia,Q38,p24_1
Oriente,Q205653,p4047_1
Paris,Q90,p304_1
Manheim,Q2119,p3060_3
Recanati,Q83362,p4426_1
Aegypti,Q11768,p1165_3
Egitto,Q11768,p1165_3
Italia,Q38,p2879_2
italia,Q38,p2879_2
imperium rom.,Q2277,p2654_1
Romae,Q220,p2654_1
Roma,Q220,p2654_1
Sagunto,Q47483,p620_1
Spagna,Q29,p620_1
Napoli,Q2634,p620_1
Paris,Q90,p620_1
Cambridge,Q350,p4431_4
Cambridge,Q350,p4431_4
Italia,Q38,p4431_4
Latium,Q1048669,p4431_4
Samnium,Q105706880,p4431_4
Italy,Q38,p4431_4
Italia,Q38,p4431_4
Italy,Q38,p4431_4
Grecia,Q11772,p4367_3
italia,Q38,p1525_1
Bolog.,Q1891,p4214_4
Inghilterra,Q21,p484_1
italia,Q38,p3728_1
Spagna,Q29,p3728_1
spagna,Q29,p3728_1
ispagna,Q29,p3728_1
Roma,Q1747689,p2245_1
roma,Q1747689,p2245_1
Roma,Q1747689,p2245_1
Roma,Q1747689,p2245_1
Roma,Q1747689,p2245_1
Italie,Q38,p2648_1
Gênes,Q1449,p2648_1
Roma,Q220,p2648_1
Londr.,Q84,p4399_1
Vienne,Q1741,p4399_1
Paris,Q90,p87_1
Lucca,Q13373,p4121_6
Carthago,Q2429397,p502_2
Cartagine,Q2429397,p502_2
Cartagine,Q2429397,p502_2
Vienne,Q1741,p4336_3
Macédoine,Q103251,p4336_3
Italie,Q38,p4336_3
France,Q142,p4336_3
Halla,Q2814,p4336_3
Halla,Q2814,p4336_3
Berlin,Q64,p4336_3
Servie,Q403,p4336_3
Croatie,Q224,p4336_3
Esclavonie,Q681964,p4336_3
Monténégro,Q236,p4336_3
Vienne,Q1741,p4336_3
Pétersbourg,Q656,p4336_3
Leipzig,Q2079,p4336_3
Allemagne,Q183,p4336_3
Europe,Q46,p4336_3
Servie,Q403,p4336_3
italia,Q38,p3577_1
spagna,Q29,p3577_1
europa,Q46,p3577_1
spagna,Q29,p3577_1
Africa,Q15,p3577_1
europa,Q46,p3577_1
Francia,Q142,p4390_1
Pad.,Q617,p2734_1
Europa latina,Q1064023,p2734_1
Italia,Q38,p2734_1
Oriente,Q205653,p2734_1
Oriente,Q205653,p2734_1
grecia,Q11772,p2734_1
Ato,Q130321,p13_1
Rodope,Q6489,p13_1
olimpo,Q80344,p13_1
Olimpo,Q80344,p13_1
Milano,Q490,p13_1
Paris,Q90,p4377_1
Mars,Q1116491,p4377_1
Firenze,Q2044,p4377_1
Firenze,Q2044,p4288_2
Bologna,Q1891,p4165_16
Bologna,Q1891,p4211_7
Stocolm,Q1754,p1424_3
Pétersbourg,Q656,p1424_3
italia,Q38,p4001_2
sicilia,Q1460,p4001_2
italia,Q38,p4001_2
Sicilia,Q1460,p4001_2
Marsiglia,Q23482,p4001_2
Malta,Q193896,p3342_1
Iena,Q3150,p4315_1
Recanati,Q83362,p4271_1
Asia,Q48,p4026_7
imperio romano,Q2277,p3135_1
italia,Q38,p3135_1
Madrid,Q2807,p4009_5
Rome,Q1747689,p4457_2
india,Q668,p2589_1
Atene,Q844930,p2589_1
Sicilia,Q1460,p2589_1
Egitto,Q11768,p2589_1
grecia,Q11772,p2589_1
Italia,Q38,p2589_1
ispagna,Q29,p4081_2
Germania,Q183,p4081_2
Amst.,Q727,p4081_2
Athenis,Q844930,p4524_7
Roma,Q220,p4524_7
francia,Q142,p373_1
Francia,Q142,p910_1
Francia,Q142,p910_1
Vienne,Q1741,p4361_3
Mars,Q1116491,p4361_3
Milano,Q490,p1176_2
Amstel.,Q727,p4012_2
Lucca,Q13373,p702_1
Berlino,Q64,p4227_6
Cremona,Q6231,p4227_6
Buenos-Ayres,Q1486,p4264_2
America,Q18,p4264_2
Paris,Q90,p4264_2
Numidia,Q102679,p4264_2
Roma,Q1747689,p4264_2
America,Q828,p4264_2
Recanati,Q83362,p4264_2
Paris,Q90,p633_1
Grecia,Q11772,p1069_1
italia,Q38,p137_1
Piacenza,Q13329,p137_1
Roma,Q1747689,p117_2
italia,Q38,p784_1
Grecia,Q11772,p4349_1
Grecia,Q11772,p4349_1
Grèce,Q11772,p2670_1
Roma,Q1747689,p457_1
italia,Q38,p457_1
italia,Q38,p457_1
Roma,Q1747689,p457_1
Roma,Q1747689,p457_1
Roma,Q1747689,p457_1
italia,Q38,p457_1
Rome,Q1747689,p457_1
Roma,Q1747689,p457_1
Roma,Q1747689,p457_1
Roma,Q1747689,p457_1
Roma,Q1747689,p457_1
Gerusalemme,Q1218,p3141_1
Termopile,Q194450,p21_5
Roma,Q1747689,p21_5
Roma,Q1747689,p4246_15
Recanati,Q83362,p4246_15
Ven.,Q641,p4122_17
Bologna,Q1891,p4223_2
Friburgo,Q2833,p4103_5
Manheim,Q2119,p3062_2
Grecia,Q11772,p801_1
italia,Q38,p801_1
Francia,Q142,p801_1
Italia,Q38,p801_1
termopile,Q194450,p67_4
Termopile,Q194450,p67_4
Termopile,Q194450,p67_4
China,Q29520,p943_2
Milano,Q490,p943_2
India,Q668,p943_2
Egitto,Q11768,p943_2
Recanati,Q83362,p4280_1
Pisa,Q13375,p4123_13
Germania,Q183,p1856_1
Germania,Q183,p1856_1
Toscana,Q1273,p1245_3
Venezia,Q641,p1245_3
roma,Q1747689,p3427_1
Roma,Q1747689,p1098_2
Lucca,Q13373,p678_2
France,Q142,p4336_1
toscana,Q1273,p4336_1
Munich,Q1726,p4318_1
Halle,Q2814,p4318_1
Grecia,Q11772,p2695_1
Grecia,Q11772,p2695_1
Costantinopoli,Q16869,p2695_1
Bisanzio,Q23725,p2695_1
grecia,Q11772,p2695_1
Bolog.,Q1891,p4191_1
Alba,Q335070,p511_1
troia,Q22647,p511_1
lido Siciliano,Q4951156,p1105_3
Bologna,Q1891,p4147_3
Ostia,Q1012797,p4466_2
italia,Q38,p3887_1
la Repubblica di Venezia,Q4948,p3887_1
Roma,Q220,p3887_1
italia,Q38,p3887_1
europa,Q46,p3887_1
Trento,Q3376,p3887_1
italia,Q38,p3887_1
italia,Q38,p3887_1
Roma,Q220,p3887_1
Roma,Q220,p3887_1
italia,Q38,p3959_1
francia,Q142,p3959_1
Corsica,Q14112,p1590_1
Sicilia,Q1460,p1590_1
grecia,Q11772,p1590_1
Firenze,Q2044,p1590_1
Leucade,Q190138,p2673_1
Leucade,Q190138,p2673_1
Leucade,Q190138,p2673_1
Recanati,Q83362,p4418_2
Bolog.,Q1891,p4224_3
Pisa,Q13375,p4299_3
Bologna,Q1891,p4172_3
Ven.,Q641,p3561_1
italia,Q38,p3561_1
Bologna,Q1891,p4179_3
Germania,Q183,p105_4
Venez.,Q641,p4462_1
Lips.,Q2079,p4462_1
Lazio,Q1048669,p980_1
Oriente,Q205653,p980_1
le Gallie,Q38060,p980_1
Occidente,Q160381,p980_1
Milano,Q490,p980_1
Milano,Q490,p980_1
Ven.,Q641,p4243_3
Copenhague,Q1748,p4311_1
Firenze,Q2044,p4311_1
Grecia,Q41,p4475_1
Grecia,Q11772,p4475_1
europa,Q46,p4475_1
europa,Q46,p4475_1
Bolog.,Q1891,p4206_1
Grecia,Q11772,p3625_1
Bologna,Q1891,p4210_4
Germania,Q183,p349_1
Spagna,Q29,p349_1
Italia,Q38,p349_1
Spagna,Q29,p349_1
italia,Q38,p349_1
Firenze,Q2044,p4291_2
Venez.,Q641,p3764_1
Paris,Q90,p1946_1
Lips.,Q2079,p2995_2
Amsterdam,Q727,p4111_4
Roma,Q1747689,p999_2
Romę,Q220,p999_2
Romano imperio,Q2277,p999_2
Siracusa,Q13670,p4225_3
Recanati,Q83362,p4225_3
Tracia,Q41741,p1029_2
Manhemii,Q2119,p1029_2
Parma,Q2683,p2722_1
Danimarca,Q35,p4467_3
Napoli,Q2634,p4467_3
Sicile,Q1460,p2674_4
italia,Q38,p28_1
Milano,Q490,p453_2
italia,Q38,p3326_1
Toscana,Q1273,p4301_1
Bologna,Q1891,p4162_3
Ven.,Q641,p3544_1
Paris,Q90,p4282_3
Recanati,Q83362,p4282_3
Italia,Q38,p2649_1
Italia,Q38,p2649_1
Ven.,Q641,p4122_12
Fir.,Q2044,p4327_2
Parigi,Q90,p4126_6
francia,Q142,p74_2
Recanati,Q83362,p4246_4
europa,Q46,p4285_3
Pisa,Q13375,p4285_3
Padova,Q617,p4246_6
Grecia,Q11772,p38_2
Roma,Q1747689,p38_2
Francia,Q142,p38_2
francia,Q142,p2783_1
Bologna,Q1891,p4212_1
Rotterdam,Q34370,p4360_1
Roma,Q1747689,p4330_2
Rom.,Q220,p4308_6
Firenze,Q2044,p4308_6
Firenze,Q2044,p4308_6
italia,Q38,p1032_2
Inghilterra,Q21,p4179_4
Francia,Q142,p4179_4
Inghilterra,Q21,p4179_4
Francia,Q142,p4179_4
Bologna,Q1891,p4179_4
Bolog.,Q1891,p4179_1
Peloponneso,Q78967,p4408_4
Sparta,Q5690,p4408_4
Ionia,Q620874,p4408_4
Toscana,Q1273,p935_2
firenze,Q2044,p935_2
Parigi,Q90,p935_2
Milano,Q490,p1630_2
europa,Q46,p3146_1
Friburgo,Q2833,p4041_1
Leipzig,Q2079,p4361_1
Goettingue,Q3033,p4361_1
Paris,Q90,p4141_1
Bologna,Q1891,p4141_1
Roma,Q1747689,p474_2
Milan,Q490,p980_2
Venezia,Q641,p1028_3
Firenze,Q2044,p3420_1
Ven.,Q641,p4232_1
Ven.,Q641,p4232_1
Venezia,Q641,p981_1
Grecia,Q11772,p981_1
France,Q142,p1962_1
Friburgo,Q2833,p4017_3
Asia,Q48,p4017_3
grecia,Q11772,p4017_3
italia,Q38,p4017_3
Florent.,Q2044,p3896_1
grecia,Q11772,p2299_2
Lazio,Q1048669,p2299_2
Pisa,Q13375,p4306_1
Amst.,Q727,p4009_9
Bologna,Q1891,p4146_7
Madrid,Q2807,p4021_3
impero Assirio,Q41137,p882_1
Asia,Q48,p2331_1
Asia,Q48,p2331_1
Egitto,Q11768,p2331_1
Egitto,Q11768,p2331_1
Grecia,Q11772,p2331_1
grecia,Q11772,p2331_1
europa,Q46,p2331_1
Asia,Q48,p2331_1
Egitto,Q11768,p2331_1
grecia,Q11772,p2331_1
impero Persiano,Q389688,p2331_1
Egitto,Q11768,p2331_1
Asia,Q48,p2331_1
Affrica,Q15,p2331_1
europa,Q46,p2331_1
italia,Q38,p2331_1
grecia,Q11772,p2331_1
italia,Q38,p2331_1
grecia,Q11772,p2331_1
europa,Q46,p2331_1
impero romano,Q2277,p2331_1
Russia,Q159,p2331_1
europa,Q46,p2331_1
europa,Q46,p986_3
inghilterra,Q21,p986_3
Francia,Q142,p986_3
inghilterra,Q21,p986_3
Francia,Q142,p986_3
europa,Q46,p986_3
Italia,Q38,p986_3
Francia,Q142,p520_1
Spagna,Q29,p520_1
Francia,Q142,p520_1
Recanati,Q83362,p4229_4
Recanati,Q83362,p4273_2
Vindobonae,Q1741,p4400_1
Recanati,Q83362,p4513_7
italia,Q38,p2608_3
grecia,Q11772,p2608_3
Ven.,Q641,p4127_5
grecia,Q11772,p1024_2
Roma,Q220,p4249_1
Italia,Q38,p4249_1
Recanati,Q83362,p4249_1
italia,Q38,p724_3
italia,Q38,p1226_1
Amstel.,Q727,p2792_1
Amberes,Q12892,p4024_3
Anversa,Q12892,p4024_3
Madrid,Q2807,p4024_3
europa,Q46,p4048_6
Asia,Q48,p4048_6
europa,Q46,p4048_6
Asia,Q48,p4048_6
europa,Q46,p4048_6
Europe latine,Q1064023,p4411_2
Mars,Q1116491,p4411_2
italia,Q38,p2180_1
Grecia,Q11772,p2180_1
Londra,Q84,p4365_2
Copenhague,Q1748,p4312_1
Europe,Q46,p2686_1
Recanati,Q83362,p4237_4
Lips.,Q2079,p4469_8
Asia,Q48,p2622_1
Affrica,Q15,p2622_1
Affrica,Q15,p2622_1
Tebe,Q11225429,p2804_1
Pisa,Q13375,p4301_3
Marca,Q1279,p3995_2
Toscana,Q1273,p3995_2
Bologna,Q1891,p4174_1
europa,Q46,p1468_1
francia,Q142,p690_2
italia,Q38,p690_2
Toscana,Q1273,p690_2
Bolog.,Q1891,p4213_4
Amstel.,Q727,p4033_1
Indie,Q668,p983_3
Bologna,Q1891,p4203_1
Amsterdam,Q727,p4474_6
Alba,Q335070,p4455_1
grecia,Q11772,p54_2
gallogrecia,Q38060,p54_2
gallia,Q38060,p54_2
francia,Q142,p54_2
gallia transalpina,Q26897,p54_2
Lombardia,Q1210,p54_2
impero,Q2277,p4194_1
impero,Q2277,p4194_1
